filename;optimal_result;best_possible;gap_percent;target_gap
ConcentratedPlusRandom(5,3-3)-20;38;38.00;0.00%;0%
ConcentratedPlusRandom(5,3-3)-24;43;43.00;0.00%;0%
ConcentratedPlusRandom(20,10-10)-3;127;99.00;22.05%;10%
ConcentratedPlusRandom(20,10-5)-2;129;100.81;21.85%;10%
ConcentratedPlusRandom(5,3-3)-6;43;43.00;0.00%;0%
ConcentratedPlusRandom(10,5-5)-9;77;60.95;20.85%;5%
ConcentratedPlusRandom(5,3-2)-7;42;42.00;0.00%;0%
ConcentratedPlusRandom(5,3-2)-15;41;41.00;0.00%;0%
ConcentratedPlusRandom(20,10-10)-9;143;98.30;31.26%;10%
ConcentratedPlusRandom(10,5-3)-11;63;59.85;5.00%;5%
ConcentratedPlusRandom(5,3-2)-23;45;45.00;0.00%;0%
ConcentratedPlusRandom(5,3-3)-17;38;38.00;0.00%;0%
ConcentratedPlusRandom(20,10-10)-6;131;99.36;24.15%;10%
ConcentratedPlusRandom(20,10-5)-6;131;103.39;21.08%;10%
ConcentratedPlusRandom(5,3-2)-6;42;42.00;0.00%;0%
ConcentratedPlusRandom(10,5-5)-14;72;57.28;20.45%;5%
ConcentratedPlusRandom(10,5-3)-17;72;55.22;23.31%;5%
ConcentratedPlusRandom(10,5-3)-15;71;63.85;10.07%;5%
ConcentratedPlusRandom(10,5-5)-1;70;61.59;12.02%;5%
ConcentratedPlusRandom(10,5-5)-18;74;62.74;15.22%;5%
ConcentratedPlusRandom(5,3-3)-8;44;44.00;0.00%;0%
ConcentratedPlusRandom(5,3-2)-22;37;37.00;0.00%;0%
ConcentratedPlusRandom(20,10-10)-14;131;100.80;23.06%;10%
ConcentratedPlusRandom(20,10-5)-0;134;92.45;31.01%;10%
ConcentratedPlusRandom(5,3-3)-15;39;39.00;0.00%;0%
ConcentratedPlusRandom(10,5-5)-12;71;67.45;5.00%;5%
ConcentratedPlusRandom(10,5-5)-15;71;59.15;16.69%;5%
ConcentratedPlusRandom(20,10-5)-17;125;91.06;27.15%;10%
ConcentratedPlusRandom(20,10-5)-7;131;87.14;33.48%;10%
ConcentratedPlusRandom(20,10-10)-10;128;94.52;26.15%;10%
ConcentratedPlusRandom(10,5-5)-17;73;64.02;12.30%;5%
ConcentratedPlusRandom(5,3-3)-10;48;48.00;0.00%;0%
ConcentratedPlusRandom(5,3-2)-11;41;41.00;0.00%;0%
ConcentratedPlusRandom(10,5-5)-21;75;60.29;19.62%;5%
ConcentratedPlusRandom(20,10-10)-7;137;100.00;27.01%;10%
ConcentratedPlusRandom(10,5-3)-5;76;66.82;12.08%;5%
ConcentratedPlusRandom(20,10-10)-13;131;100.99;22.91%;10%
ConcentratedPlusRandom(20,10-10)-23;133;98.80;25.71%;10%
ConcentratedPlusRandom(5,3-2)-8;47;47.00;0.00%;0%
ConcentratedPlusRandom(5,3-3)-22;44;44.00;0.00%;0%
ConcentratedPlusRandom(20,10-10)-21;135;97.50;27.78%;10%
ConcentratedPlusRandom(20,10-5)-11;125;99.37;20.50%;10%
ConcentratedPlusRandom(10,5-3)-21;74;62.84;15.09%;5%
ConcentratedPlusRandom(20,10-5)-21;135;93.63;30.64%;10%
ConcentratedPlusRandom(20,10-5)-8;132;100.21;24.08%;10%
ConcentratedPlusRandom(5,3-3)-0;45;45.00;0.00%;0%
ConcentratedPlusRandom(10,5-5)-22;69;58.08;15.83%;5%
ConcentratedPlusRandom(10,5-3)-18;70;65.06;7.06%;5%
ConcentratedPlusRandom(20,10-10)-12;129;98.00;24.03%;10%
ConcentratedPlusRandom(5,3-2)-16;40;40.00;0.00%;0%
ConcentratedPlusRandom(20,10-10)-24;129;91.63;28.97%;10%
ConcentratedPlusRandom(5,3-3)-3;39;39.00;0.00%;0%
ConcentratedPlusRandom(10,5-5)-10;73;63.88;12.49%;5%
ConcentratedPlusRandom(20,10-10)-5;131;98.38;24.90%;10%
ConcentratedPlusRandom(10,5-3)-9;72;68.40;5.00%;5%
ConcentratedPlusRandom(10,5-5)-24;72;65.82;8.58%;5%
ConcentratedPlusRandom(20,10-10)-0;131;96.94;26.00%;10%
ConcentratedPlusRandom(5,3-2)-17;47;47.00;0.00%;0%
ConcentratedPlusRandom(20,10-5)-14;130;100.00;23.08%;10%
ConcentratedPlusRandom(20,10-5)-1;129;100.69;21.94%;10%
ConcentratedPlusRandom(20,10-10)-11;133;97.67;26.56%;10%
ConcentratedPlusRandom(5,3-3)-19;43;43.00;0.00%;0%
ConcentratedPlusRandom(20,10-5)-16;129;101.00;21.71%;10%
ConcentratedPlusRandom(10,5-5)-5;67;63.65;5.00%;5%
ConcentratedPlusRandom(5,3-3)-1;44;44.00;0.00%;0%
ConcentratedPlusRandom(5,3-3)-7;45;45.00;0.00%;0%
ConcentratedPlusRandom(20,10-5)-4;131;91.89;29.86%;10%
ConcentratedPlusRandom(20,10-5)-10;128;99.00;22.66%;10%
ConcentratedPlusRandom(10,5-3)-20;74;68.83;6.99%;5%
ConcentratedPlusRandom(10,5-3)-0;62;58.90;5.00%;5%
ConcentratedPlusRandom(5,3-3)-4;40;40.00;0.00%;0%
ConcentratedPlusRandom(20,10-5)-13;132;99.20;24.85%;10%
ConcentratedPlusRandom(20,10-5)-3;127;99.74;21.47%;10%
ConcentratedPlusRandom(20,10-10)-15;125;91.06;27.15%;10%
ConcentratedPlusRandom(5,3-2)-2;45;45.00;0.00%;0%
ConcentratedPlusRandom(5,3-2)-5;47;47.00;0.00%;0%
ConcentratedPlusRandom(5,3-3)-14;41;41.00;0.00%;0%
ConcentratedPlusRandom(10,5-3)-23;76;67.64;11.00%;5%
ConcentratedPlusRandom(5,3-2)-1;49;49.00;0.00%;0%
ConcentratedPlusRandom(20,10-5)-19;133;100.05;24.77%;10%
ConcentratedPlusRandom(5,3-2)-10;41;41.00;0.00%;0%
ConcentratedPlusRandom(20,10-5)-24;129;100.13;22.38%;10%
ConcentratedPlusRandom(10,5-3)-3;76;64.93;14.57%;5%
ConcentratedPlusRandom(20,10-10)-4;132;99.12;24.91%;10%
ConcentratedPlusRandom(10,5-5)-11;73;64.34;11.87%;5%
ConcentratedPlusRandom(10,5-3)-13;76;58.64;22.84%;5%
ConcentratedPlusRandom(10,5-3)-7;74;67.28;9.08%;5%
ConcentratedPlusRandom(5,3-3)-21;42;42.00;0.00%;0%
ConcentratedPlusRandom(10,5-3)-1;76;67.96;10.58%;5%
ConcentratedPlusRandom(20,10-5)-18;131;100.64;23.18%;10%
ConcentratedPlusRandom(20,10-5)-5;127;103.85;18.22%;10%
ConcentratedPlusRandom(10,5-3)-24;69;62.61;9.26%;5%
ConcentratedPlusRandom(5,3-3)-2;45;45.00;0.00%;0%
ConcentratedPlusRandom(20,10-5)-22;134;100.19;25.23%;10%
ConcentratedPlusRandom(5,3-3)-11;43;43.00;0.00%;0%
ConcentratedPlusRandom(10,5-5)-16;74;55.77;24.64%;5%
ConcentratedPlusRandom(5,3-2)-20;40;40.00;0.00%;0%
ConcentratedPlusRandom(10,5-3)-10;69;63.10;8.56%;5%
ConcentratedPlusRandom(5,3-2)-13;43;43.00;0.00%;0%
ConcentratedPlusRandom(10,5-3)-19;75;71.00;5.33%;5%
ConcentratedPlusRandom(5,3-3)-16;40;40.00;0.00%;0%
ConcentratedPlusRandom(20,10-10)-16;141;100.00;29.08%;10%
ConcentratedPlusRandom(10,5-3)-2;73;63.19;13.43%;5%
ConcentratedPlusRandom(10,5-5)-4;72;64.18;10.85%;5%
ConcentratedPlusRandom(20,10-5)-15;125;98.01;21.59%;10%
ConcentratedPlusRandom(20,10-5)-20;127;98.12;22.74%;10%
ConcentratedPlusRandom(20,10-10)-1;131;87.89;32.91%;10%
ConcentratedPlusRandom(10,5-5)-2;76;61.30;19.35%;5%
ConcentratedPlusRandom(20,10-10)-2;127;99.30;21.81%;10%
ConcentratedPlusRandom(5,3-2)-3;41;41.00;0.00%;0%
ConcentratedPlusRandom(20,10-5)-23;135;102.72;23.91%;10%
ConcentratedPlusRandom(10,5-3)-12;72;64.55;10.34%;5%
ConcentratedPlusRandom(20,10-5)-12;129;99.05;23.22%;10%
ConcentratedPlusRandom(5,3-2)-24;48;48.00;0.00%;0%
ConcentratedPlusRandom(5,3-2)-19;42;42.00;0.00%;0%
ConcentratedPlusRandom(5,3-3)-23;44;44.00;0.00%;0%
ConcentratedPlusRandom(5,3-2)-12;47;47.00;0.00%;0%
